date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:35	70/70	---M--	200	added ('OK')	text/plain	etag:%221e218cb-46-57d0ba6a31d7a%22	https://melp.org/robots.txt		(from )
05:40:35	76261/76261	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2010:47:29%20GMT	https://melp.org/	C:/My%20Web%20Sites/Melp/melp.org/index.html	(from )
05:40:36	132/132	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2019%20Jan%202026%2010:40:36%20GMT	https://melp.org/xmlrpc.php	C:/My%20Web%20Sites/Melp/melp.org/xmlrpc.php	(from https://melp.org/)
05:40:37	16187/16187	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2019%20Jan%202026%2002:41:01%20GMT	https://melp.org/feed/	C:/My%20Web%20Sites/Melp/melp.org/feed/index.html	(from https://melp.org/)
05:40:37	116345/116345	---M--	200	added ('OK')	text/css	etag:%221e2054f-1c679-6396a93b9ae00%22	https://melp.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/My%20Web%20Sites/Melp/melp.org/wp-includes/css/dist/block-library/style.min32d4.css	(from https://melp.org/)
05:40:38	749/749	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2018%20Jan%202026%2019:45:08%20GMT	https://melp.org/comments/feed/	C:/My%20Web%20Sites/Melp/melp.org/comments/feed/index.html	(from https://melp.org/)
05:40:38	30591/30591	---M--	200	added ('OK')	text/css	etag:%221ea168a-777f-59912f75c8bf9%22	https://melp.org/wp-content/plugins/contact-widgets/assets/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Melp/melp.org/wp-content/plugins/contact-widgets/assets/css/font-awesome.min1849.css	(from https://melp.org/)
05:40:39	20278/20278	---M--	200	added ('OK')	text/css	etag:%221f00005-4f36-6381d1a9268b3%22	https://melp.org/wp-content/uploads/bb-plugin/cache/591-layout.css?ver=dff17f4deb55f409c0a49b49be487672	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/bb-plugin/cache/591-layout2e25.css	(from https://melp.org/)
05:40:40	163047/163047	---M--	200	added ('OK')	text/css	etag:%221ea185b-27ce7-59912fd7a7065%22	https://melp.org/wp-content/themes/escapade/style.css?ver=1.1.3	C:/My%20Web%20Sites/Melp/melp.org/wp-content/themes/escapade/stylec358.css	(from https://melp.org/)
05:40:40	1225/1225	---M--	200	added ('OK')	text/css	etag:%221ea168e-4c9-59912f75c64e9%22	https://melp.org/wp-content/plugins/contact-widgets/assets/css/style.min.css?ver=1.0.1	C:/My%20Web%20Sites/Melp/melp.org/wp-content/plugins/contact-widgets/assets/css/style.minf269.css	(from https://melp.org/)
05:40:41	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%221f01389-15601-60a567913d586%22	https://melp.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/Melp/melp.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://melp.org/)
05:40:41	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%221f01381-3509-5fdabee5f2100%22	https://melp.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/Melp/melp.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://melp.org/)
05:40:41	488164/488164	---M--	200	added ('OK')	image/jpeg	etag:%221f00c46-772e4-57a92b9870200%22	https://melp.org/wp-content/uploads/2018/11/HeaderBG63.jpg	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2018/11/HeaderBG63.jpg	(from https://melp.org/)
05:40:42	37844/37844	---MC-	200	added ('OK')	application/json	date:Mon,%2019%20Jan%202026%2010:40:41%20GMT	https://melp.org/wp-json/wp/v2/pages/591	C:/My%20Web%20Sites/Melp/melp.org/wp-json/wp/v2/pages/591.json	(from https://melp.org/)
05:40:43	218137/218137	---MC-	200	added ('OK')	application/json	date:Mon,%2019%20Jan%202026%2010:40:42%20GMT	https://melp.org/wp-json/	C:/My%20Web%20Sites/Melp/melp.org/wp-json/index.html	(from https://melp.org/)
05:40:43	763/763	---MC-	200	added ('OK')	text/xml	date:Mon,%2019%20Jan%202026%2010:40:42%20GMT	https://melp.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/Melp/melp.org/xmlrpc0db0.php	(from https://melp.org/)
05:40:43	2557/2557	---MC-	200	added ('OK')	application/json	date:Mon,%2019%20Jan%202026%2010:40:43%20GMT	https://melp.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmelp.org%2F	C:/My%20Web%20Sites/Melp/melp.org/wp-json/oembed/1.0/embed1da2.json	(from https://melp.org/)
05:40:44	2731/2731	---MC-	200	added ('OK')	text/xml	date:Mon,%2019%20Jan%202026%2010:40:44%20GMT	https://melp.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmelp.org%2F&format=xml	C:/My%20Web%20Sites/Melp/melp.org/wp-json/oembed/1.0/embedf835	(from https://melp.org/)
05:40:45	2813/2813	---M--	200	added ('OK')	image/png	etag:%221f00d3f-afd-58490754f5f0b%22	https://melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-32x32.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-32x32.png	(from https://melp.org/)
05:40:45	43916/43916	---M--	200	added ('OK')	image/png	etag:%221f00d3c-ab8c-58490754d76c2%22	https://melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-192x192.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-192x192.png	(from https://melp.org/)
05:40:45	39542/39542	---M--	200	added ('OK')	image/png	etag:%221f00d3b-9a76-58490754f4f6b%22	https://melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-180x180.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/cropped-Compandent-logo3shadetransparent-180x180.png	(from https://melp.org/)
05:40:46	152288/152288	---M--	200	added ('OK')	application/pdf	etag:%221f00cc1-252e0-5824cfb782a4b%22	https://melp.org/wp-content/uploads/2019/02/MIL-STD-3005-MELP.pdf	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/02/MIL-STD-3005-MELP.pdf	(from https://melp.org/)
05:40:47	84974/84974	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2022:43:40%20GMT	https://melp.org/melp_faq/	C:/My%20Web%20Sites/Melp/melp.org/melp_faq/index.html	(from https://melp.org/)
05:40:47	55155/55155	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2015:51:23%20GMT	https://melp.org/melp/	C:/My%20Web%20Sites/Melp/melp.org/melp/index.html	(from https://melp.org/)
05:40:47	68329/68329	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2005:46:01%20GMT	https://melp.org/melpesw/	C:/My%20Web%20Sites/Melp/melp.org/melpesw/index.html	(from https://melp.org/)
05:40:47	50303/50303	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2005:29:57%20GMT	https://melp.org/melpe-scip/	C:/My%20Web%20Sites/Melp/melp.org/melpe-scip/index.html	(from https://melp.org/)
05:40:48	65097/65097	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2016:22:32%20GMT	https://melp.org/mobileapp/	C:/My%20Web%20Sites/Melp/melp.org/mobileapp/index.html	(from https://melp.org/)
05:40:48	21443/21443	---M--	200	added ('OK')	application/pdf	etag:%221f00d64-53c3-5b8acf2fea67b%22	https://melp.org/wp-content/uploads/2021/01/STANAG4591-2006.pdf	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2021/01/STANAG4591-2006.pdf	(from https://melp.org/)
05:40:48	63713/63713	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2015:51:15%20GMT	https://melp.org/melpehw/	C:/My%20Web%20Sites/Melp/melp.org/melpehw/index.html	(from https://melp.org/)
05:40:49	51908/51908	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2020:48:42%20GMT	https://melp.org/pc-usb-sample/	C:/My%20Web%20Sites/Melp/melp.org/pc-usb-sample/index.html	(from https://melp.org/)
05:40:49	317/317	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Jan%202026%2010:40:49%20GMT	http://melp.org/wp-content/uploads/2019/03/MELPeVsVocodersNATOP2.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/MELPeVsVocodersNATOP2.12.delayed	(from https://melp.org/)
05:40:50	66958/66958	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2002:40:48%20GMT	https://melp.org/melpe-tsvcis/	C:/My%20Web%20Sites/Melp/melp.org/melpe-tsvcis/index.html	(from https://melp.org/)
05:40:50	57021/57021	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2015:51:20%20GMT	https://melp.org/melcoder/	C:/My%20Web%20Sites/Melp/melp.org/melcoder/index.html	(from https://melp.org/)
05:40:50	62065/62065	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2005:25:57%20GMT	https://melp.org/defensecontract/	C:/My%20Web%20Sites/Melp/melp.org/defensecontract/index.html	(from https://melp.org/)
05:40:51	62598/62598	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2005:32:22%20GMT	https://melp.org/customers-partners/	C:/My%20Web%20Sites/Melp/melp.org/customers-partners/index.html	(from https://melp.org/)
05:40:52	322/322	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Jan%202026%2010:40:51%20GMT	http://melp.org/wp-content/uploads/2018/11/MELPDecDiagramMILSTD3005-2.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2018/11/MELPDecDiagramMILSTD3005-2.14.delayed	(from https://melp.org/)
05:40:53	50289/50289	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jan%202026%2011:32:44%20GMT	https://melp.org/blog/	C:/My%20Web%20Sites/Melp/melp.org/blog/index.html	(from https://melp.org/)
05:40:53	142837/142837	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2007:32:08%20GMT	https://melp.org/contact/	C:/My%20Web%20Sites/Melp/melp.org/contact/index.html	(from https://melp.org/)
05:40:55	314/314	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Jan%202026%2010:40:53%20GMT	http://melp.org/wp-content/uploads/2018/11/STANAG4591_MELPe-1.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2018/11/STANAG4591_MELPe-1.png	(from https://melp.org/)
05:40:55	87879/87879	---M--	200	added ('OK')	image/png	etag:%221f00c49-15747-57a3526102180%22	https://melp.org/wp-content/uploads/2018/11/MELPDecDiagramMILSTD3005-2.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2018/11/MELPDecDiagramMILSTD3005-2.png	(from https://melp.org/)
05:40:55	656988/656988	---M--	200	added ('OK')	image/png	etag:%221f00d26-a065c-584cb418ab337%22	https://melp.org/wp-content/uploads/2019/03/MELPeVsVocodersNATOP2.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/MELPeVsVocodersNATOP2.png	(from https://melp.org/)
05:40:56	10797/10797	---M--	200	added ('OK')	image/png	etag:%221f00c52-2a2d-57a3527044580%22	https://melp.org/wp-content/uploads/2018/11/STANAG4591_MELPe-1.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2018/11/STANAG4591_MELPe-1.png	(from https://melp.org/)
05:40:57	18941/18941	---M--	200	added ('OK')	image/png	etag:%221f00d48-49fd-584cb66c1a556%22	https://melp.org/wp-content/uploads/2019/03/line.png	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/2019/03/line.png	(from https://melp.org/)
05:40:57	24527/24527	---M--	200	added ('OK')	text/javascript	etag:%221f00006-5fcf-6381d1a92c674%22	https://melp.org/wp-content/uploads/bb-plugin/cache/591-layout.js?ver=c838f8afaf7160f23bc33bdf8741ac25	C:/My%20Web%20Sites/Melp/melp.org/wp-content/uploads/bb-plugin/cache/591-layout44b4.js	(from https://melp.org/)
